time,tcp,udp,icmp,bitrate
1,0,47232,0,557715456.00
2,0,47302,0,558542016.00
3,0,47148,0,556723584.00
4,0,47174,0,557030592.00
5,0,47141,0,556640928.00
6,0,47408,0,559793664.00
7,0,47451,0,560301408.00
8,0,47418,0,559911744.00
9,0,47427,0,560018016.00
10,0,47425,0,559994400.00
11,0,47451,0,560301408.00
12,0,47432,0,560077056.00
13,0,47444,0,560218752.00
14,0,47440,0,560171520.00
15,0,47423,0,559970784.00
16,0,47399,0,559687392.00
17,0,47429,0,560041632.00
18,0,47484,0,560691072.00
19,0,47453,0,560325024.00
20,0,47438,0,560147904.00
21,0,47416,0,559888128.00
22,0,47480,0,560643840.00
23,0,47474,0,560572992.00
24,0,47479,0,560632032.00
25,0,47460,0,560407680.00
26,0,47464,0,560454912.00
27,0,47492,0,560785536.00
28,0,47458,0,560384064.00
29,0,47467,0,560490336.00
30,0,47449,0,560277792.00
31,0,47458,0,560384064.00
32,0,47458,0,560384064.00
33,0,47474,0,560572992.00
34,0,47499,0,560868192.00
35,0,47139,0,556617312.00
36,0,47171,0,556995168.00
37,0,47178,0,557077824.00
38,0,47168,0,556959744.00
39,0,47159,0,556853472.00
40,0,47385,0,559522080.00
41,0,47474,0,560572992.00
42,0,47434,0,560100672.00
43,0,47471,0,560537568.00
44,0,47476,0,560596608.00
45,0,47465,0,560466720.00
46,0,47428,0,560029824.00
47,0,47411,0,559829088.00
48,0,47457,0,560372256.00
49,0,47446,0,560242368.00
50,0,47486,0,560714688.00
51,0,47452,0,560313216.00
52,0,47464,0,560454912.00
53,0,47453,0,560325024.00
54,0,47447,0,560254176.00
55,0,16286,0,192305088.00
56,0,30972,0,365717376.00
57,0,47418,0,559911744.00
58,0,47460,0,560407680.00
59,0,47433,0,560088864.00
60,0,46570,0,549898560.00
