time,tcp,udp,icmp,bitrate
1,17823,0,0,326356640.00
2,16919,0,0,304897696.00
3,12640,0,0,263986880.00
4,9893,0,0,239699296.00
5,13264,0,0,275865216.00
6,11876,0,0,269148288.00
7,19304,0,0,318099392.00
8,18017,0,0,315374624.00
9,13737,0,0,306794336.00
10,14954,0,0,299701504.00
11,12567,0,0,280915488.00
12,13661,0,0,288170400.00
13,14768,0,0,281136064.00
14,17904,0,0,305237952.00
15,17085,0,0,300205728.00
16,12073,0,0,274871648.00
17,17262,0,0,278142336.00
18,16147,0,0,295263008.00
19,12317,0,0,296693152.00
20,17140,0,0,308823936.00
21,11585,0,0,272826784.00
22,10954,0,0,264745088.00
23,13302,0,0,286422464.00
24,11595,0,0,270942752.00
25,11146,0,0,258036736.00
26,10704,0,0,264339904.00
27,11589,0,0,251224288.00
28,14895,0,0,308967328.00
29,15717,0,0,294365920.00
30,13008,0,0,282512192.00
31,17654,0,0,311470400.00
32,12696,0,0,270856320.00
33,14135,0,0,274802720.00
34,13694,0,0,289933312.00
35,18679,0,0,316611488.00
36,16827,0,0,310199648.00
37,14327,0,0,300425312.00
38,15685,0,0,306434720.00
39,11946,0,0,267370304.00
40,13028,0,0,278431360.00
41,12438,0,0,275730112.00
42,13890,0,0,276368896.00
43,16097,0,0,304590496.00
44,18423,0,0,308813216.00
45,16355,0,0,310779424.00
46,18958,0,0,314781440.00
47,15473,0,0,291484256.00
48,10556,0,0,273348608.00
49,13332,0,0,293223168.00
50,14462,0,0,299531584.00
51,15463,0,0,291955040.00
52,12747,0,0,269058848.00
53,14153,0,0,285676000.00
54,13207,0,0,292927904.00
55,13382,0,0,281775808.00
56,13439,0,0,292364128.00
57,15427,0,0,280541408.00
58,13175,0,0,286404384.00
59,11661,0,0,273495520.00
60,17777,0,0,310748144.00
