time,tcp,udp,icmp,bitrate
1,0,78583,0,927908064.00
2,0,78615,0,928285920.00
3,0,78545,0,927459360.00
4,0,78539,0,927388512.00
5,0,78453,0,926373024.00
6,0,78489,0,926798112.00
7,0,78426,0,926054208.00
8,0,78393,0,925664544.00
9,0,78322,0,924826176.00
10,0,78337,0,925003296.00
11,0,78273,0,924247584.00
12,0,78279,0,924318432.00
13,0,78210,0,923503680.00
14,0,78253,0,924011424.00
15,0,78242,0,923881536.00
16,0,78280,0,924330240.00
17,0,78313,0,924719904.00
18,0,78337,0,925003296.00
19,0,78295,0,924507360.00
20,0,78340,0,925038720.00
21,0,78312,0,924708096.00
22,0,78324,0,924849792.00
23,0,78206,0,923456448.00
24,0,78286,0,924401088.00
25,0,78243,0,923893344.00
26,0,78239,0,923846112.00
27,0,78209,0,923491872.00
28,0,78152,0,922818816.00
29,0,78112,0,922346496.00
30,0,78157,0,922877856.00
31,0,78116,0,922393728.00
32,0,78168,0,923007744.00
33,0,78096,0,922157568.00
34,0,78115,0,922381920.00
35,0,78168,0,923007744.00
36,0,78210,0,923503680.00
37,0,78201,0,923397408.00
38,0,78179,0,923137632.00
39,0,78130,0,922559040.00
40,0,78112,0,922346496.00
41,0,78128,0,922535424.00
42,0,78151,0,922807008.00
43,0,78117,0,922405536.00
44,0,78159,0,922901472.00
45,0,78232,0,923763456.00
46,0,78147,0,922759776.00
47,0,78212,0,923527296.00
48,0,78194,0,923314752.00
49,0,78227,0,923704416.00
50,0,78268,0,924188544.00
51,0,78305,0,924625440.00
52,0,78322,0,924826176.00
53,0,78310,0,924684480.00
54,0,78249,0,923964192.00
55,0,78317,0,924767136.00
56,0,78294,0,924495552.00
57,0,78314,0,924731712.00
58,0,78301,0,924578208.00
59,0,78277,0,924294816.00
60,0,76904,0,908082432.00
