time,tcp,udp,icmp,bitrate
1,0,81644,0,964052352.00
2,0,81793,0,965811744.00
3,0,81590,0,963414720.00
4,0,81616,0,963721728.00
5,0,81812,0,966036096.00
6,0,81630,0,963887040.00
7,0,81803,0,965929824.00
8,0,81769,0,965528352.00
9,0,81679,0,964465632.00
10,0,81830,0,966248640.00
11,0,81804,0,965941632.00
12,0,81797,0,965858976.00
13,0,81596,0,963485568.00
14,0,81811,0,966024288.00
15,0,81778,0,965634624.00
16,0,81485,0,962174880.00
17,0,81688,0,964571904.00
18,0,81848,0,966461184.00
19,0,81801,0,965906208.00
20,0,81752,0,965327616.00
21,0,81786,0,965729088.00
22,0,81810,0,966012480.00
23,0,81737,0,965150496.00
24,0,81812,0,966036096.00
25,0,81784,0,965705472.00
26,0,81821,0,966142368.00
27,0,81781,0,965670048.00
28,0,81802,0,965918016.00
29,0,81931,0,967441248.00
30,0,81991,0,968149728.00
31,0,81877,0,966803616.00
32,0,81628,0,963863424.00
33,0,81820,0,966130560.00
34,0,81887,0,966921696.00
35,0,81983,0,968055264.00
36,0,81980,0,968019840.00
37,0,82022,0,968515776.00
38,0,81985,0,968078880.00
39,0,82015,0,968433120.00
40,0,81759,0,965410272.00
41,0,81811,0,966024288.00
42,0,81766,0,965492928.00
43,0,81797,0,965858976.00
44,0,81796,0,965847168.00
45,0,81802,0,965918016.00
46,0,81626,0,963839808.00
47,0,81736,0,965138688.00
48,0,81816,0,966083328.00
49,0,81787,0,965740896.00
50,0,81759,0,965410272.00
51,0,81787,0,965740896.00
52,0,81625,0,963828000.00
53,0,81607,0,963615456.00
54,0,81774,0,965587392.00
55,0,81617,0,963733536.00
56,0,81616,0,963721728.00
57,0,81597,0,963497376.00
58,0,81591,0,963426528.00
59,0,81592,0,963438336.00
60,0,79319,0,936598752.00
