time,tcp,udp,icmp,bitrate
1,0,79345,0,936905760.00
2,0,79373,0,937236384.00
3,0,79430,0,937909440.00
4,0,79363,0,937118304.00
5,0,79388,0,937413504.00
6,0,79360,0,937082880.00
7,0,79326,0,936681408.00
8,0,79307,0,936457056.00
9,0,79299,0,936362592.00
10,0,79319,0,936598752.00
11,0,79334,0,936775872.00
12,0,76294,0,900879552.00
13,0,79280,0,936138240.00
14,0,79266,0,935972928.00
15,0,79329,0,936716832.00
16,0,79198,0,935169984.00
17,0,79253,0,935819424.00
18,0,79364,0,937130112.00
19,0,79374,0,937248192.00
20,0,79381,0,937330848.00
21,0,79359,0,937071072.00
22,0,79286,0,936209088.00
23,0,79412,0,937696896.00
24,0,79423,0,937826784.00
25,0,79371,0,937212768.00
26,0,79393,0,937472544.00
27,0,79369,0,937189152.00
28,0,79330,0,936728640.00
29,0,79283,0,936173664.00
30,0,79296,0,936327168.00
31,0,79271,0,936031968.00
32,0,79340,0,936846720.00
33,0,79380,0,937319040.00
34,0,79360,0,937082880.00
35,0,79361,0,937094688.00
36,0,79409,0,937661472.00
37,0,79327,0,936693216.00
38,0,79283,0,936173664.00
39,0,79343,0,936882144.00
40,0,79338,0,936823104.00
41,0,79363,0,937118304.00
42,0,79203,0,935229024.00
43,0,79318,0,936586944.00
44,0,79308,0,936468864.00
45,0,79271,0,936031968.00
46,0,79203,0,935229024.00
47,0,79202,0,935217216.00
48,0,79246,0,935736768.00
49,0,79223,0,935465184.00
50,0,79191,0,935087328.00
51,0,79233,0,935583264.00
52,0,79181,0,934969248.00
53,0,79307,0,936457056.00
54,0,79257,0,935866656.00
55,0,79315,0,936551520.00
56,0,79246,0,935736768.00
57,0,79267,0,935984736.00
58,0,79273,0,936055584.00
59,0,79323,0,936645984.00
60,0,77586,0,916135488.00
