time,tcp,udp,icmp,bitrate
1,20746,0,0,329113280.00
2,17635,0,0,319107936.00
3,19190,0,0,320473024.00
4,16944,0,0,293173504.00
5,17163,0,0,304686432.00
6,14086,0,0,290988352.00
7,16649,0,0,299908512.00
8,20347,0,0,304064864.00
9,20521,0,0,295553504.00
10,20796,0,0,290235008.00
11,20903,0,0,329421856.00
12,15661,0,0,280221728.00
13,18192,0,0,313026368.00
14,18937,0,0,311204832.00
15,18085,0,0,307861728.00
16,18387,0,0,320081056.00
17,15941,0,0,310433440.00
18,17118,0,0,312533248.00
19,20261,0,0,286479328.00
20,18448,0,0,310271616.00
21,18717,0,0,298625760.00
22,15258,0,0,284108480.00
23,16892,0,0,308164736.00
24,16959,0,0,289345440.00
25,16598,0,0,280820032.00
26,15400,0,0,282754304.00
27,18288,0,0,270217088.00
28,22438,0,0,303058112.00
29,20677,0,0,291158560.00
30,18271,0,0,315480288.00
31,21109,0,0,304995808.00
32,19558,0,0,285596096.00
33,20308,0,0,312968320.00
34,18364,0,0,309263616.00
35,19114,0,0,318680640.00
36,14518,0,0,273050688.00
37,14714,0,0,271800064.00
38,15137,0,0,270377440.00
39,17636,0,0,300886720.00
40,13604,0,0,268187456.00
41,18615,0,0,289640480.00
42,21868,0,0,293843392.00
43,17150,0,0,311063808.00
44,17849,0,0,311516768.00
45,20176,0,0,326003328.00
46,17493,0,0,312619744.00
47,20188,0,0,322255104.00
48,19920,0,0,325155456.00
49,19316,0,0,309775488.00
50,18645,0,0,322528352.00
51,18198,0,0,311928384.00
52,16673,0,0,300949472.00
53,21871,0,0,295756000.00
54,16501,0,0,281486304.00
55,18671,0,0,274511904.00
56,20856,0,0,295658112.00
57,19357,0,0,313846944.00
58,19414,0,0,278562624.00
59,19259,0,0,314281120.00
60,17785,0,0,315118624.00
