time,tcp,udp,icmp,bitrate
1,12310,0,0,214548096.00
2,13117,0,0,205361760.00
3,11888,0,0,212982464.00
4,12301,0,0,206922080.00
5,12017,0,0,219928608.00
6,10604,0,0,212772672.00
7,11058,0,0,228669440.00
8,11612,0,0,232189760.00
9,10214,0,0,197736576.00
10,11025,0,0,212055840.00
11,11122,0,0,198322816.00
12,11866,0,0,214224384.00
13,11324,0,0,213269120.00
14,10873,0,0,219232608.00
15,11299,0,0,209934112.00
16,10898,0,0,208794240.00
17,10620,0,0,208087808.00
18,12070,0,0,219348288.00
19,10888,0,0,220211904.00
20,10468,0,0,209310400.00
21,10713,0,0,215656096.00
22,10485,0,0,207533536.00
23,11232,0,0,201334080.00
24,12778,0,0,226546880.00
25,10355,0,0,213549472.00
26,11125,0,0,212410208.00
27,9750,0,0,202698432.00
28,9924,0,0,195484480.00
29,9799,0,0,202869408.00
30,11331,0,0,220141344.00
31,10724,0,0,207598208.00
32,11382,0,0,223996864.00
33,10139,0,0,207806624.00
34,10952,0,0,207496128.00
35,11848,0,0,226136832.00
36,10997,0,0,204989536.00
37,12120,0,0,218268608.00
38,12240,0,0,225164672.00
39,10577,0,0,216074464.00
40,9782,0,0,204333504.00
41,9845,0,0,201892320.00
42,10504,0,0,209545472.00
43,10358,0,0,201688704.00
44,9582,0,0,194415488.00
45,9595,0,0,204313632.00
46,14918,0,0,228537600.00
47,13805,0,0,236310816.00
48,12404,0,0,227572864.00
49,12310,0,0,232827648.00
50,12680,0,0,208272896.00
51,12982,0,0,214839232.00
52,12708,0,0,230548992.00
53,11789,0,0,230873312.00
54,12172,0,0,216135616.00
55,14192,0,0,233680064.00
56,10893,0,0,200104160.00
57,10786,0,0,203870784.00
58,10794,0,0,229764352.00
59,11808,0,0,225367232.00
60,9692,0,0,202723336.00
