time,tcp,udp,icmp,bitrate
1,0,81635,0,963946080.00
2,0,81801,0,965906208.00
3,0,81705,0,964772640.00
4,0,81786,0,965729088.00
5,0,81756,0,965374848.00
6,0,81841,0,966378528.00
7,0,81516,0,962540928.00
8,0,81665,0,964300320.00
9,0,81800,0,965894400.00
10,0,81509,0,962458272.00
11,0,81634,0,963934272.00
12,0,81571,0,963190368.00
13,0,81698,0,964689984.00
14,0,81803,0,965929824.00
15,0,81629,0,963875232.00
16,0,81779,0,965646432.00
17,0,81614,0,963698112.00
18,0,81783,0,965693664.00
19,0,81956,0,967736448.00
20,0,81618,0,963745344.00
21,0,81804,0,965941632.00
22,0,81822,0,966154176.00
23,0,78759,0,929986272.00
24,0,81800,0,965894400.00
25,0,81817,0,966095136.00
26,0,81749,0,965292192.00
27,0,81859,0,966591072.00
28,0,81867,0,966685536.00
29,0,81709,0,964819872.00
30,0,81849,0,966472992.00
31,0,81738,0,965162304.00
32,0,81862,0,966626496.00
33,0,81807,0,965977056.00
34,0,81782,0,965681856.00
35,0,81801,0,965906208.00
36,0,81830,0,966248640.00
37,0,81728,0,965044224.00
38,0,81776,0,965611008.00
39,0,81632,0,963910656.00
40,0,81662,0,964264896.00
41,0,81627,0,963851616.00
42,0,81798,0,965870784.00
43,0,81733,0,965103264.00
44,0,81646,0,964075968.00
45,0,81819,0,966118752.00
46,0,81964,0,967830912.00
47,0,81643,0,964040544.00
48,0,81744,0,965233152.00
49,0,81790,0,965776320.00
50,0,81760,0,965422080.00
51,0,81774,0,965587392.00
52,0,81756,0,965374848.00
53,0,81879,0,966827232.00
54,0,81753,0,965339424.00
55,0,81843,0,966402144.00
56,0,81704,0,964760832.00
57,0,81704,0,964760832.00
58,0,81782,0,965681856.00
59,0,81774,0,965587392.00
60,0,79045,0,933363360.00
