time,tcp,udp,icmp,bitrate
1,0,78297,0,924530976.00
2,0,78336,0,924991488.00
3,0,78295,0,924507360.00
4,0,78249,0,923964192.00
5,0,78300,0,924566400.00
6,0,78276,0,924283008.00
7,0,78277,0,924294816.00
8,0,78217,0,923586336.00
9,0,78182,0,923173056.00
10,0,78206,0,923456448.00
11,0,78272,0,924235776.00
12,0,78229,0,923728032.00
13,0,78191,0,923279328.00
14,0,78143,0,922712544.00
15,0,78164,0,922960512.00
16,0,78179,0,923137632.00
17,0,78259,0,924082272.00
18,0,78215,0,923562720.00
19,0,78172,0,923054976.00
20,0,78164,0,922960512.00
21,0,78165,0,922972320.00
22,0,78173,0,923066784.00
23,0,78244,0,923905152.00
24,0,78188,0,923243904.00
25,0,78196,0,923338368.00
26,0,78162,0,922936896.00
27,0,78206,0,923456448.00
28,0,78200,0,923385600.00
29,0,78145,0,922736160.00
30,0,78200,0,923385600.00
31,0,78219,0,923609952.00
32,0,78191,0,923279328.00
33,0,78129,0,922547232.00
34,0,78200,0,923385600.00
35,0,78185,0,923208480.00
36,0,78281,0,924342048.00
37,0,78307,0,924649056.00
38,0,78291,0,924460128.00
39,0,78250,0,923976000.00
40,0,78247,0,923940576.00
41,0,78205,0,923444640.00
42,0,78222,0,923645376.00
43,0,78241,0,923869728.00
44,0,78239,0,923846112.00
45,0,78231,0,923751648.00
46,0,78231,0,923751648.00
47,0,78202,0,923409216.00
48,0,78238,0,923834304.00
49,0,78198,0,923361984.00
50,0,78220,0,923621760.00
51,0,78239,0,923846112.00
52,0,78269,0,924200352.00
53,0,78166,0,922984128.00
54,0,78238,0,923834304.00
55,0,78245,0,923916960.00
56,0,78288,0,924424704.00
57,0,78267,0,924176736.00
58,0,78257,0,924058656.00
59,0,78220,0,923621760.00
60,0,76412,0,902272896.00
