time,tcp,udp,icmp,bitrate
1,16032,0,0,286643008.00
2,18855,0,0,307243744.00
3,19233,0,0,319216672.00
4,20279,0,0,286394144.00
5,18900,0,0,299084160.00
6,16228,0,0,290964288.00
7,15153,0,0,272770400.00
8,16032,0,0,299999360.00
9,17291,0,0,294962784.00
10,19585,0,0,301454240.00
11,18002,0,0,294818368.00
12,17006,0,0,298261504.00
13,19285,0,0,319191968.00
14,14774,0,0,273423616.00
15,18161,0,0,300074144.00
16,16464,0,0,294769344.00
17,17136,0,0,294527616.00
18,17013,0,0,304322848.00
19,15214,0,0,274753472.00
20,17763,0,0,314400160.00
21,15969,0,0,285134048.00
22,17050,0,0,302229952.00
23,17799,0,0,306144160.00
24,16095,0,0,290295008.00
25,17586,0,0,308522944.00
26,15973,0,0,289190112.00
27,17131,0,0,298985376.00
28,17217,0,0,303793760.00
29,15232,0,0,290932224.00
30,15283,0,0,275685728.00
31,17369,0,0,305872608.00
32,19519,0,0,308330848.00
33,16416,0,0,287926400.00
34,17725,0,0,299950688.00
35,17079,0,0,304060704.00
36,16275,0,0,298652448.00
37,16725,0,0,290383328.00
38,17639,0,0,308869344.00
39,14826,0,0,272205760.00
40,16973,0,0,300413984.00
41,16403,0,0,291430944.00
42,16009,0,0,277343072.00
43,16463,0,0,297549088.00
44,14661,0,0,287775520.00
45,16060,0,0,294010496.00
46,16932,0,0,295369472.00
47,15798,0,0,290322048.00
48,16239,0,0,299610528.00
49,16155,0,0,290933920.00
50,16287,0,0,289401824.00
51,17038,0,0,302954752.00
52,15188,0,0,278600128.00
53,19180,0,0,287489216.00
54,20880,0,0,285671104.00
55,16737,0,0,302377760.00
56,14729,0,0,272130656.00
57,14913,0,0,271836512.00
58,15023,0,0,271442080.00
59,18332,0,0,292384000.00
60,18941,0,0,301235368.00
