time,tcp,udp,icmp,bitrate
1,18674,0,0,297866496.00
2,18188,0,0,298984896.00
3,16038,0,0,292981952.00
4,14874,0,0,275921024.00
5,15178,0,0,275039680.00
6,15393,0,0,278442144.00
7,17584,0,0,298490368.00
8,16110,0,0,289189184.00
9,15343,0,0,282383072.00
10,14774,0,0,282227456.00
11,15072,0,0,275679040.00
12,17810,0,0,294761664.00
13,17852,0,0,289948608.00
14,14679,0,0,262159200.00
15,14855,0,0,285840608.00
16,17386,0,0,284843136.00
17,20557,0,0,286336032.00
18,15227,0,0,274434528.00
19,14546,0,0,277707520.00
20,15045,0,0,282328608.00
21,18359,0,0,312238624.00
22,14404,0,0,277034496.00
23,17543,0,0,309698208.00
24,16078,0,0,298999104.00
25,16940,0,0,299635712.00
26,18839,0,0,270770656.00
27,16861,0,0,282898720.00
28,16746,0,0,293948352.00
29,16460,0,0,283079424.00
30,17991,0,0,308019552.00
31,17822,0,0,294222208.00
32,13315,0,0,282176544.00
33,18036,0,0,290940288.00
34,19094,0,0,296766976.00
35,20436,0,0,315917568.00
36,16535,0,0,282994784.00
37,16446,0,0,277455360.00
38,16599,0,0,294918176.00
39,16113,0,0,274907360.00
40,16223,0,0,290927456.00
41,20318,0,0,305628224.00
42,17944,0,0,306273984.00
43,18449,0,0,306206048.00
44,14331,0,0,269995808.00
45,16084,0,0,296696384.00
46,16935,0,0,294826272.00
47,15037,0,0,281549152.00
48,18050,0,0,286833792.00
49,16879,0,0,295752864.00
50,18369,0,0,265651936.00
51,18013,0,0,289019360.00
52,20126,0,0,311328768.00
53,18946,0,0,303354624.00
54,14837,0,0,277735904.00
55,16168,0,0,294043840.00
56,16373,0,0,284676576.00
57,16553,0,0,281982880.00
58,16486,0,0,278560896.00
59,16387,0,0,289142240.00
60,14079,0,0,253421216.00
