time,tcp,udp,icmp,bitrate
1,0,79594,0,939845952.00
2,0,79626,0,940223808.00
3,0,79461,0,938275488.00
4,0,79724,0,941380992.00
5,0,79634,0,940318272.00
6,0,79664,0,940672512.00
7,0,79584,0,939727872.00
8,0,79568,0,939538944.00
9,0,79528,0,939066624.00
10,0,79555,0,939385440.00
11,0,79540,0,939208320.00
12,0,79642,0,940412736.00
13,0,79649,0,940495392.00
14,0,79640,0,940389120.00
15,0,79644,0,940436352.00
16,0,79705,0,941156640.00
17,0,79760,0,941806080.00
18,0,79763,0,941841504.00
19,0,79777,0,942006816.00
20,0,79772,0,941947776.00
21,0,79845,0,942809760.00
22,0,79840,0,942750720.00
23,0,79827,0,942597216.00
24,0,79798,0,942254784.00
25,0,79789,0,942148512.00
26,0,79727,0,941416416.00
27,0,79705,0,941156640.00
28,0,79677,0,940826016.00
29,0,79640,0,940389120.00
30,0,79773,0,941959584.00
31,0,79665,0,940684320.00
32,0,79696,0,941050368.00
33,0,79701,0,941109408.00
34,0,79708,0,941192064.00
35,0,79638,0,940365504.00
36,0,79649,0,940495392.00
37,0,79726,0,941404608.00
38,0,79727,0,941416416.00
39,0,79765,0,941865120.00
40,0,79788,0,942136704.00
41,0,79677,0,940826016.00
42,0,79635,0,940330080.00
43,0,79664,0,940672512.00
44,0,79810,0,942396480.00
45,0,79746,0,941640768.00
46,0,79729,0,941440032.00
47,0,79707,0,941180256.00
48,0,79808,0,942372864.00
49,0,79784,0,942089472.00
50,0,79776,0,941995008.00
51,0,79764,0,941853312.00
52,0,79870,0,943104960.00
53,0,79795,0,942219360.00
54,0,79768,0,941900544.00
55,0,79824,0,942561792.00
56,0,79756,0,941758848.00
57,0,79546,0,939279168.00
58,0,79486,0,938570688.00
59,0,79472,0,938405376.00
60,0,77837,0,919099296.00
