time,tcp,udp,icmp,bitrate
1,0,47295,0,558459360.00
2,0,47281,0,558294048.00
3,0,47138,0,556605504.00
4,0,47120,0,556392960.00
5,0,47114,0,556322112.00
6,0,47410,0,559817280.00
7,0,47454,0,560336832.00
8,0,47465,0,560466720.00
9,0,47415,0,559876320.00
10,0,47454,0,560336832.00
11,0,47444,0,560218752.00
12,0,47437,0,560136096.00
13,0,47482,0,560667456.00
14,0,47455,0,560348640.00
15,0,47475,0,560584800.00
16,0,47446,0,560242368.00
17,0,47485,0,560702880.00
18,0,47475,0,560584800.00
19,0,47478,0,560620224.00
20,0,47468,0,560502144.00
21,0,47481,0,560655648.00
22,0,47491,0,560773728.00
23,0,47458,0,560384064.00
24,0,47468,0,560502144.00
25,0,47442,0,560195136.00
26,0,47462,0,560431296.00
27,0,47437,0,560136096.00
28,0,47478,0,560620224.00
29,0,47440,0,560171520.00
30,0,47424,0,559982592.00
31,0,47421,0,559947168.00
32,0,47418,0,559911744.00
33,0,47431,0,560065248.00
34,0,47313,0,558671904.00
35,0,47113,0,556310304.00
36,0,47106,0,556227648.00
37,0,47112,0,556298496.00
38,0,47124,0,556440192.00
39,0,47217,0,557538336.00
40,0,47431,0,560065248.00
41,0,47483,0,560679264.00
42,0,47469,0,560513952.00
43,0,47481,0,560655648.00
44,0,47460,0,560407680.00
45,0,47464,0,560454912.00
46,0,47430,0,560053440.00
47,0,47470,0,560525760.00
48,0,47442,0,560195136.00
49,0,47458,0,560384064.00
50,0,47458,0,560384064.00
51,0,47452,0,560313216.00
52,0,47437,0,560136096.00
53,0,47455,0,560348640.00
54,0,47495,0,560820960.00
55,0,47460,0,560407680.00
56,0,47449,0,560277792.00
57,0,47455,0,560348640.00
58,0,47441,0,560183328.00
59,0,47446,0,560242368.00
60,0,46814,0,552779712.00
