time,tcp,udp,icmp,bitrate
1,0,81710,0,964831680.00
2,0,81755,0,965363040.00
3,0,81813,0,966047904.00
4,0,81820,0,966130560.00
5,0,81823,0,966165984.00
6,0,81678,0,964453824.00
7,0,81695,0,964654560.00
8,0,81812,0,966036096.00
9,0,81798,0,965870784.00
10,0,81820,0,966130560.00
11,0,81770,0,965540160.00
12,0,81774,0,965587392.00
13,0,81652,0,964146816.00
14,0,81630,0,963887040.00
15,0,81806,0,965965248.00
16,0,81608,0,963627264.00
17,0,81601,0,963544608.00
18,0,81663,0,964276704.00
19,0,81835,0,966307680.00
20,0,81775,0,965599200.00
21,0,81766,0,965492928.00
22,0,81815,0,966071520.00
23,0,81625,0,963828000.00
24,0,81773,0,965575584.00
25,0,81806,0,965965248.00
26,0,81775,0,965599200.00
27,0,81816,0,966083328.00
28,0,81805,0,965953440.00
29,0,81796,0,965847168.00
30,0,81587,0,963379296.00
31,0,81649,0,964111392.00
32,0,81761,0,965433888.00
33,0,81800,0,965894400.00
34,0,81779,0,965646432.00
35,0,81638,0,963981504.00
36,0,81661,0,964253088.00
37,0,81748,0,965280384.00
38,0,81775,0,965599200.00
39,0,81671,0,964371168.00
40,0,81612,0,963674496.00
41,0,81804,0,965941632.00
42,0,81812,0,966036096.00
43,0,81862,0,966626496.00
44,0,81719,0,964937952.00
45,0,81667,0,964323936.00
46,0,81654,0,964170432.00
47,0,81789,0,965764512.00
48,0,81835,0,966307680.00
49,0,81775,0,965599200.00
50,0,81784,0,965705472.00
51,0,81769,0,965528352.00
52,0,81801,0,965906208.00
53,0,81623,0,963804384.00
54,0,81748,0,965280384.00
55,0,81632,0,963910656.00
56,0,81806,0,965965248.00
57,0,81771,0,965551968.00
58,0,81608,0,963627264.00
59,0,81791,0,965788128.00
60,0,80064,0,945395712.00
