time,tcp,udp,icmp,bitrate
1,0,47632,0,562438656.00
2,0,47628,0,562391424.00
3,0,47481,0,560655648.00
4,0,47507,0,560962656.00
5,0,47462,0,560431296.00
6,0,47515,0,561057120.00
7,0,47476,0,560596608.00
8,0,47459,0,560395872.00
9,0,47450,0,560289600.00
10,0,47448,0,560265984.00
11,0,47476,0,560596608.00
12,0,47393,0,559616544.00
13,0,47329,0,558860832.00
14,0,47138,0,556605504.00
15,0,47117,0,556357536.00
16,0,47127,0,556475616.00
17,0,47095,0,556097760.00
18,0,47108,0,556251264.00
19,0,47100,0,556156800.00
20,0,47160,0,556865280.00
21,0,47431,0,560065248.00
22,0,47425,0,559994400.00
23,0,47454,0,560336832.00
24,0,47432,0,560077056.00
25,0,47449,0,560277792.00
26,0,47415,0,559876320.00
27,0,47454,0,560336832.00
28,0,47466,0,560478528.00
29,0,47457,0,560372256.00
30,0,47438,0,560147904.00
31,0,47440,0,560171520.00
32,0,47461,0,560419488.00
33,0,47443,0,560206944.00
34,0,47487,0,560726496.00
35,0,47445,0,560230560.00
36,0,47466,0,560478528.00
37,0,47464,0,560454912.00
38,0,47444,0,560218752.00
39,0,47426,0,560006208.00
40,0,47177,0,557066016.00
41,0,47184,0,557148672.00
42,0,47184,0,557148672.00
43,0,47189,0,557207712.00
44,0,47194,0,557266752.00
45,0,47447,0,560254176.00
46,0,47456,0,560360448.00
47,0,47469,0,560513952.00
48,0,47494,0,560809152.00
49,0,47471,0,560537568.00
50,0,47450,0,560289600.00
51,0,47434,0,560100672.00
52,0,47458,0,560384064.00
53,0,47450,0,560289600.00
54,0,47432,0,560077056.00
55,0,47440,0,560171520.00
56,0,47422,0,559958976.00
57,0,47474,0,560572992.00
58,0,47450,0,560289600.00
59,0,47451,0,560301408.00
60,0,46639,0,550713312.00
