time,tcp,udp,icmp,bitrate
1,0,77748,0,918048384.00
2,0,77842,0,919158336.00
3,0,77859,0,919359072.00
4,0,77786,0,918497088.00
5,0,77782,0,918449856.00
6,0,77817,0,918863136.00
7,0,77783,0,918461664.00
8,0,77787,0,918508896.00
9,0,77720,0,917717760.00
10,0,77804,0,918709632.00
11,0,77793,0,918579744.00
12,0,77800,0,918662400.00
13,0,77732,0,917859456.00
14,0,77702,0,917505216.00
15,0,77712,0,917623296.00
16,0,77718,0,917694144.00
17,0,77731,0,917847648.00
18,0,77707,0,917564256.00
19,0,77714,0,917646912.00
20,0,77711,0,917611488.00
21,0,77783,0,918461664.00
22,0,77768,0,918284544.00
23,0,77818,0,918874944.00
24,0,77794,0,918591552.00
25,0,77781,0,918438048.00
26,0,77800,0,918662400.00
27,0,77763,0,918225504.00
28,0,77735,0,917894880.00
29,0,77663,0,917044704.00
30,0,77660,0,917009280.00
31,0,77586,0,916135488.00
32,0,77732,0,917859456.00
33,0,77713,0,917635104.00
34,0,77723,0,917753184.00
35,0,77724,0,917764992.00
36,0,77685,0,917304480.00
37,0,77695,0,917422560.00
38,0,77719,0,917705952.00
39,0,77732,0,917859456.00
40,0,77747,0,918036576.00
41,0,77665,0,917068320.00
42,0,77829,0,919004832.00
43,0,77699,0,917469792.00
44,0,77765,0,918249120.00
45,0,77810,0,918780480.00
46,0,77830,0,919016640.00
47,0,77853,0,919288224.00
48,0,77816,0,918851328.00
49,0,77846,0,919205568.00
50,0,77855,0,919311840.00
51,0,77810,0,918780480.00
52,0,77814,0,918827712.00
53,0,77827,0,918981216.00
54,0,77865,0,919429920.00
55,0,77837,0,919099296.00
56,0,77834,0,919063872.00
57,0,77806,0,918733248.00
58,0,77848,0,919229184.00
59,0,77729,0,917824032.00
60,0,75041,0,886084128.00
