time,tcp,udp,icmp,bitrate
1,0,81607,0,963615456.00
2,0,81847,0,966449376.00
3,0,81610,0,963650880.00
4,0,81796,0,965847168.00
5,0,81820,0,966130560.00
6,0,81798,0,965870784.00
7,0,81787,0,965740896.00
8,0,81794,0,965823552.00
9,0,81771,0,965551968.00
10,0,81624,0,963816192.00
11,0,81747,0,965268576.00
12,0,81573,0,963213984.00
13,0,81433,0,961560864.00
14,0,81586,0,963367488.00
15,0,81620,0,963768960.00
16,0,81632,0,963910656.00
17,0,81585,0,963355680.00
18,0,81617,0,963733536.00
19,0,81578,0,963273024.00
20,0,81748,0,965280384.00
21,0,81812,0,966036096.00
22,0,81987,0,968102496.00
23,0,81810,0,966012480.00
24,0,81985,0,968078880.00
25,0,81979,0,968008032.00
26,0,81811,0,966024288.00
27,0,81898,0,967051584.00
28,0,81858,0,966579264.00
29,0,81764,0,965469312.00
30,0,81824,0,966177792.00
31,0,81641,0,964016928.00
32,0,81757,0,965386656.00
33,0,81786,0,965729088.00
34,0,81798,0,965870784.00
35,0,81634,0,963934272.00
36,0,81773,0,965575584.00
37,0,81788,0,965752704.00
38,0,81785,0,965717280.00
39,0,81640,0,964005120.00
40,0,81772,0,965563776.00
41,0,81619,0,963757152.00
42,0,81589,0,963402912.00
43,0,81604,0,963580032.00
44,0,81615,0,963709920.00
45,0,81598,0,963509184.00
46,0,81591,0,963426528.00
47,0,81588,0,963391104.00
48,0,81641,0,964016928.00
49,0,81621,0,963780768.00
50,0,81590,0,963414720.00
51,0,81666,0,964312128.00
52,0,81824,0,966177792.00
53,0,81554,0,962989632.00
54,0,81726,0,965020608.00
55,0,81761,0,965433888.00
56,0,81522,0,962611776.00
57,0,81731,0,965079648.00
58,0,81836,0,966319488.00
59,0,81796,0,965847168.00
60,0,79083,0,933812064.00
