time,tcp,udp,icmp,bitrate
1,0,47581,0,561836448.00
2,0,47585,0,561883680.00
3,0,47498,0,560856384.00
4,0,47482,0,560667456.00
5,0,47458,0,560384064.00
6,0,47654,0,562698432.00
7,0,47735,0,563654880.00
8,0,47685,0,563064480.00
9,0,2298,0,27134784.00
10,0,44996,0,531312768.00
11,0,47562,0,561612096.00
12,0,47562,0,561612096.00
13,0,47532,0,561257856.00
14,0,47543,0,561387744.00
15,0,47526,0,561187008.00
16,0,47492,0,560785536.00
17,0,47516,0,561068928.00
18,0,47507,0,560962656.00
19,0,47496,0,560832768.00
20,0,47512,0,561021696.00
21,0,47481,0,560655648.00
22,0,47505,0,560939040.00
23,0,47389,0,559569312.00
24,0,47234,0,557739072.00
25,0,47230,0,557691840.00
26,0,47207,0,557420256.00
27,0,47202,0,557361216.00
28,0,47248,0,557904384.00
29,0,47562,0,561612096.00
30,0,47521,0,561127968.00
31,0,47545,0,561411360.00
32,0,47490,0,560761920.00
33,0,47492,0,560785536.00
34,0,47516,0,561068928.00
35,0,47428,0,560029824.00
36,0,47484,0,560691072.00
37,0,47452,0,560313216.00
38,0,47473,0,560561184.00
39,0,47499,0,560868192.00
40,0,47482,0,560667456.00
41,0,47488,0,560738304.00
42,0,47470,0,560525760.00
43,0,47494,0,560809152.00
44,0,47472,0,560549376.00
45,0,47511,0,561009888.00
46,0,47230,0,557691840.00
47,0,47218,0,557550144.00
48,0,47197,0,557302176.00
49,0,47207,0,557420256.00
50,0,47228,0,557668224.00
51,0,47191,0,557231328.00
52,0,47441,0,560183328.00
53,0,47474,0,560572992.00
54,0,47529,0,561222432.00
55,0,47554,0,561517632.00
56,0,47485,0,560702880.00
57,0,47518,0,561092544.00
58,0,47507,0,560962656.00
59,0,47498,0,560856384.00
60,0,46332,0,547088256.00
