time,tcp,udp,icmp,bitrate
1,16858,0,0,313548736.00
2,15950,0,0,305108544.00
3,13377,0,0,280302560.00
4,14457,0,0,283080224.00
5,14019,0,0,267097440.00
6,14957,0,0,283832672.00
7,12064,0,0,265508032.00
8,10635,0,0,259133152.00
9,13778,0,0,268028160.00
10,14672,0,0,314006272.00
11,15445,0,0,291217760.00
12,12534,0,0,285975552.00
13,13346,0,0,276768128.00
14,11620,0,0,269053376.00
15,11896,0,0,271392320.00
16,11221,0,0,264740320.00
17,13011,0,0,291039264.00
18,10421,0,0,240463392.00
19,14203,0,0,275583968.00
20,10398,0,0,256034304.00
21,17086,0,0,295028096.00
22,14057,0,0,291207968.00
23,14863,0,0,276877920.00
24,13916,0,0,297265664.00
25,12933,0,0,274696544.00
26,12516,0,0,259313280.00
27,15525,0,0,304294624.00
28,16504,0,0,311397440.00
29,12212,0,0,289154624.00
30,13067,0,0,267755552.00
31,19680,0,0,320283008.00
32,17466,0,0,307245120.00
33,14878,0,0,285305728.00
34,12863,0,0,285058272.00
35,13594,0,0,279917888.00
36,12232,0,0,274126912.00
37,16355,0,0,295141024.00
38,13032,0,0,282348416.00
39,15055,0,0,292190752.00
40,13152,0,0,293078784.00
41,15681,0,0,290134368.00
42,13781,0,0,285764512.00
43,14007,0,0,263246560.00
44,10284,0,0,252917120.00
45,11235,0,0,267630560.00
46,12524,0,0,278395456.00
47,11786,0,0,266284352.00
48,12383,0,0,270529184.00
49,15130,0,0,292059776.00
50,14515,0,0,293518368.00
51,14936,0,0,302833280.00
52,13594,0,0,277994944.00
53,14156,0,0,295361472.00
54,17859,0,0,294921056.00
55,15100,0,0,295916352.00
56,15137,0,0,279378208.00
57,13203,0,0,274403424.00
58,13846,0,0,285965312.00
59,11338,0,0,269167744.00
60,13786,0,0,270802744.00
