time,tcp,udp,icmp,bitrate
1,12414,0,0,254405568.00
2,15543,0,0,274380640.00
3,17037,0,0,303533536.00
4,17178,0,0,301993600.00
5,15354,0,0,284820288.00
6,12967,0,0,254670368.00
7,17168,0,0,302070528.00
8,17518,0,0,289195712.00
9,15380,0,0,271289408.00
10,13035,0,0,264139616.00
11,14150,0,0,268067072.00
12,13710,0,0,271683584.00
13,15244,0,0,284172160.00
14,15444,0,0,297889728.00
15,14945,0,0,293245472.00
16,19309,0,0,312483232.00
17,16968,0,0,293531008.00
18,15640,0,0,287348736.00
19,17875,0,0,302364640.00
20,16532,0,0,287939904.00
21,15506,0,0,284640256.00
22,13450,0,0,266849152.00
23,16963,0,0,312630944.00
24,19408,0,0,315397248.00
25,19549,0,0,302748256.00
26,18327,0,0,312329568.00
27,16792,0,0,284433856.00
28,12212,0,0,251518208.00
29,15208,0,0,277635392.00
30,14932,0,0,262542464.00
31,16853,0,0,290054304.00
32,18513,0,0,306649696.00
33,18424,0,0,304365376.00
34,18580,0,0,295591680.00
35,15907,0,0,292475680.00
36,16428,0,0,294267840.00
37,14249,0,0,289781920.00
38,19034,0,0,305765952.00
39,20873,0,0,322876000.00
40,14526,0,0,274791616.00
41,13468,0,0,260867712.00
42,15013,0,0,270163680.00
43,13318,0,0,270570624.00
44,12119,0,0,249104800.00
45,16373,0,0,273752864.00
46,15782,0,0,297624896.00
47,16524,0,0,294794304.00
48,16506,0,0,295180672.00
49,14532,0,0,268492416.00
50,12976,0,0,257790208.00
51,15017,0,0,263238112.00
52,20548,0,0,325196608.00
53,20109,0,0,325477344.00
54,17216,0,0,294028032.00
55,20516,0,0,313147520.00
56,21107,0,0,315339488.00
57,17197,0,0,277316000.00
58,13104,0,0,258434240.00
59,20272,0,0,312617408.00
60,11905,0,0,246342552.00
