time,tcp,udp,icmp,bitrate
1,16457,0,0,296307104.00
2,11799,0,0,271131872.00
3,11305,0,0,263697952.00
4,11123,0,0,270456800.00
5,11431,0,0,274801504.00
6,12302,0,0,264460224.00
7,11045,0,0,256048608.00
8,11373,0,0,244658976.00
9,13736,0,0,285572032.00
10,15222,0,0,287684544.00
11,15989,0,0,299460192.00
12,17893,0,0,307550176.00
13,13256,0,0,275618624.00
14,14114,0,0,275106752.00
15,21231,0,0,321380000.00
16,15818,0,0,297547200.00
17,14563,0,0,283054816.00
18,16116,0,0,297891264.00
19,18488,0,0,315454720.00
20,21170,0,0,323289152.00
21,19405,0,0,309650336.00
22,13976,0,0,275176768.00
23,13004,0,0,278687808.00
24,14201,0,0,279741792.00
25,12373,0,0,271868768.00
26,14919,0,0,294045536.00
27,12547,0,0,268106848.00
28,11994,0,0,270900224.00
29,12797,0,0,260912928.00
30,14619,0,0,279811424.00
31,16027,0,0,307329952.00
32,10890,0,0,255717696.00
33,12358,0,0,269870080.00
34,12828,0,0,275718592.00
35,19762,0,0,313945920.00
36,17970,0,0,306643904.00
37,15870,0,0,292448704.00
38,18623,0,0,307309408.00
39,21197,0,0,331258592.00
40,17621,0,0,308664928.00
41,17363,0,0,307908896.00
42,18486,0,0,311225728.00
43,16604,0,0,293634432.00
44,11592,0,0,257932672.00
45,18396,0,0,313632512.00
46,19029,0,0,310188960.00
47,20253,0,0,323289952.00
48,20510,0,0,331436160.00
49,10586,0,0,238145728.00
50,12266,0,0,259927488.00
51,16979,0,0,294381216.00
52,20962,0,0,320769984.00
53,15603,0,0,296959648.00
54,14044,0,0,289858816.00
55,11972,0,0,280389952.00
56,12439,0,0,281256096.00
57,9963,0,0,243979744.00
58,13323,0,0,272368224.00
59,14535,0,0,280541024.00
60,16120,0,0,277299280.00
