time,tcp,udp,icmp,bitrate
1,0,47589,0,561930912.00
2,0,47385,0,559522080.00
3,0,47180,0,557101440.00
4,0,47223,0,557609184.00
5,0,47146,0,556699968.00
6,0,47166,0,556936128.00
7,0,47154,0,556794432.00
8,0,47372,0,559368576.00
9,0,47433,0,560088864.00
10,0,47434,0,560100672.00
11,0,47418,0,559911744.00
12,0,47442,0,560195136.00
13,0,47456,0,560360448.00
14,0,47414,0,559864512.00
15,0,47425,0,559994400.00
16,0,47425,0,559994400.00
17,0,47443,0,560206944.00
18,0,47439,0,560159712.00
19,0,47419,0,559923552.00
20,0,47403,0,559734624.00
21,0,47380,0,559463040.00
22,0,47399,0,559687392.00
23,0,47412,0,559840896.00
24,0,47419,0,559923552.00
25,0,47423,0,559970784.00
26,0,47388,0,559557504.00
27,0,47401,0,559711008.00
28,0,47444,0,560218752.00
29,0,47408,0,559793664.00
30,0,47425,0,559994400.00
31,0,47418,0,559911744.00
32,0,47444,0,560218752.00
33,0,47416,0,559888128.00
34,0,47434,0,560100672.00
35,0,47417,0,559899936.00
36,0,47258,0,558022464.00
37,0,47120,0,556392960.00
38,0,47100,0,556156800.00
39,0,47134,0,556558272.00
40,0,47108,0,556251264.00
41,0,47239,0,557798112.00
42,0,47424,0,559982592.00
43,0,47422,0,559958976.00
44,0,47442,0,560195136.00
45,0,47434,0,560100672.00
46,0,47441,0,560183328.00
47,0,47426,0,560006208.00
48,0,47418,0,559911744.00
49,0,47406,0,559770048.00
50,0,47390,0,559581120.00
51,0,47410,0,559817280.00
52,0,47374,0,559392192.00
53,0,47397,0,559663776.00
54,0,47410,0,559817280.00
55,0,47394,0,559628352.00
56,0,47394,0,559628352.00
57,0,47386,0,559533888.00
58,0,47405,0,559758240.00
59,0,47381,0,559474848.00
60,0,46230,0,545883840.00
