time,tcp,udp,icmp,bitrate
1,19570,0,0,305039040.00
2,16978,0,0,299500928.00
3,18613,0,0,315529888.00
4,18464,0,0,302296896.00
5,15151,0,0,286624032.00
6,13571,0,0,269413216.00
7,17664,0,0,301118464.00
8,16005,0,0,281256800.00
9,16156,0,0,281006848.00
10,17932,0,0,301646976.00
11,17518,0,0,292242304.00
12,17930,0,0,298333120.00
13,18020,0,0,293157760.00
14,16714,0,0,287992448.00
15,16654,0,0,296122624.00
16,14414,0,0,267516608.00
17,15588,0,0,277689216.00
18,15473,0,0,284545440.00
19,15571,0,0,297595040.00
20,17226,0,0,313875584.00
21,15054,0,0,276633024.00
22,15826,0,0,290437952.00
23,16052,0,0,303424960.00
24,15197,0,0,292597344.00
25,16874,0,0,286390912.00
26,16420,0,0,292990272.00
27,14149,0,0,268321504.00
28,15057,0,0,279356512.00
29,17140,0,0,303089856.00
30,14720,0,0,272092160.00
31,16009,0,0,288927072.00
32,15185,0,0,280324896.00
33,16196,0,0,300577280.00
34,15796,0,0,285224256.00
35,14995,0,0,275681760.00
36,15449,0,0,273542240.00
37,15839,0,0,285392736.00
38,16386,0,0,289547264.00
39,13599,0,0,254585760.00
40,17741,0,0,300629216.00
41,16500,0,0,281509056.00
42,17413,0,0,280186016.00
43,15464,0,0,280950656.00
44,19655,0,0,298819040.00
45,19376,0,0,283470016.00
46,18213,0,0,309189216.00
47,17144,0,0,301539264.00
48,18030,0,0,289686720.00
49,15860,0,0,280640448.00
50,14792,0,0,277636096.00
51,18034,0,0,305929152.00
52,15359,0,0,275532000.00
53,17223,0,0,307271456.00
54,18675,0,0,290545824.00
55,16605,0,0,298349536.00
56,16067,0,0,293063520.00
57,14524,0,0,269427392.00
58,15829,0,0,306981152.00
59,15128,0,0,280289600.00
60,15211,0,0,268430048.00
