time,tcp,udp,icmp,bitrate
1,0,78441,0,926231328.00
2,0,78362,0,925298496.00
3,0,78332,0,924944256.00
4,0,78315,0,924743520.00
5,0,78344,0,925085952.00
6,0,78440,0,926219520.00
7,0,78470,0,926573760.00
8,0,78488,0,926786304.00
9,0,78415,0,925924320.00
10,0,78467,0,926538336.00
11,0,78422,0,926006976.00
12,0,78449,0,926325792.00
13,0,78485,0,926750880.00
14,0,78478,0,926668224.00
15,0,78552,0,927542016.00
16,0,78658,0,928793664.00
17,0,78651,0,928711008.00
18,0,78592,0,928014336.00
19,0,78592,0,928014336.00
20,0,78561,0,927648288.00
21,0,78699,0,929277792.00
22,0,78663,0,928852704.00
23,0,78497,0,926892576.00
24,0,78569,0,927742752.00
25,0,78580,0,927872640.00
26,0,78585,0,927931680.00
27,0,78653,0,928734624.00
28,0,78583,0,927908064.00
29,0,78493,0,926845344.00
30,0,78388,0,925605504.00
31,0,78417,0,925947936.00
32,0,78395,0,925688160.00
33,0,78399,0,925735392.00
34,0,78419,0,925971552.00
35,0,78409,0,925853472.00
36,0,78502,0,926951616.00
37,0,78359,0,925263072.00
38,0,78324,0,924849792.00
39,0,78276,0,924283008.00
40,0,78209,0,923491872.00
41,0,78257,0,924058656.00
42,0,78298,0,924542784.00
43,0,78259,0,924082272.00
44,0,78281,0,924342048.00
45,0,78271,0,924223968.00
46,0,78360,0,925274880.00
47,0,78385,0,925570080.00
48,0,78431,0,926113248.00
49,0,78383,0,925546464.00
50,0,78438,0,926195904.00
51,0,78472,0,926597376.00
52,0,78467,0,926538336.00
53,0,78330,0,924920640.00
54,0,78352,0,925180416.00
55,0,78419,0,925971552.00
56,0,78441,0,926231328.00
57,0,78413,0,925900704.00
58,0,78424,0,926030592.00
59,0,78447,0,926302176.00
60,0,75368,0,889945344.00
