time,tcp,udp,icmp,bitrate
1,0,79393,0,937472544.00
2,0,79354,0,937012032.00
3,0,79423,0,937826784.00
4,0,79341,0,936858528.00
5,0,79381,0,937330848.00
6,0,79363,0,937118304.00
7,0,79321,0,936622368.00
8,0,79327,0,936693216.00
9,0,79311,0,936504288.00
10,0,79309,0,936480672.00
11,0,79335,0,936787680.00
12,0,79295,0,936315360.00
13,0,79323,0,936645984.00
14,0,79288,0,936232704.00
15,0,79299,0,936362592.00
16,0,79231,0,935559648.00
17,0,79259,0,935890272.00
18,0,79329,0,936716832.00
19,0,79291,0,936268128.00
20,0,79309,0,936480672.00
21,0,79280,0,936138240.00
22,0,79227,0,935512416.00
23,0,79316,0,936563328.00
24,0,79295,0,936315360.00
25,0,79262,0,935925696.00
26,0,79310,0,936492480.00
27,0,79266,0,935972928.00
28,0,79306,0,936445248.00
29,0,79312,0,936516096.00
30,0,79300,0,936374400.00
31,0,79288,0,936232704.00
32,0,79260,0,935902080.00
33,0,79309,0,936480672.00
34,0,79223,0,935465184.00
35,0,79178,0,934933824.00
36,0,79199,0,935181792.00
37,0,79188,0,935051904.00
38,0,79225,0,935488800.00
39,0,79308,0,936468864.00
40,0,79230,0,935547840.00
41,0,79273,0,936055584.00
42,0,79172,0,934862976.00
43,0,79301,0,936386208.00
44,0,79249,0,935772192.00
45,0,79313,0,936527904.00
46,0,79249,0,935772192.00
47,0,79191,0,935087328.00
48,0,79277,0,936102816.00
49,0,79228,0,935524224.00
50,0,79231,0,935559648.00
51,0,79272,0,936043776.00
52,0,79191,0,935087328.00
53,0,79244,0,935713152.00
54,0,79217,0,935394336.00
55,0,79248,0,935760384.00
56,0,79155,0,934662240.00
57,0,79184,0,935004672.00
58,0,79225,0,935488800.00
59,0,79219,0,935417952.00
60,0,76093,0,898506144.00
