time,tcp,udp,icmp,bitrate
1,11444,0,0,251789504.00
2,13052,0,0,268015744.00
3,11550,0,0,266846464.00
4,15851,0,0,288664416.00
5,11159,0,0,254057248.00
6,12066,0,0,252696960.00
7,15206,0,0,283345472.00
8,16968,0,0,303122560.00
9,14678,0,0,305135424.00
10,13613,0,0,286146400.00
11,14848,0,0,273593408.00
12,11167,0,0,266582880.00
13,13124,0,0,299716352.00
14,12760,0,0,291988992.00
15,12690,0,0,264644800.00
16,13113,0,0,296757856.00
17,12663,0,0,265154848.00
18,12813,0,0,251710304.00
19,14249,0,0,278591776.00
20,12756,0,0,264104640.00
21,11411,0,0,236519648.00
22,12124,0,0,252570496.00
23,14668,0,0,287187648.00
24,13125,0,0,281495136.00
25,13437,0,0,292050528.00
26,17484,0,0,308098240.00
27,17808,0,0,304595648.00
28,16792,0,0,300431360.00
29,11727,0,0,258649120.00
30,14681,0,0,293089312.00
31,17909,0,0,325847968.00
32,14973,0,0,311640928.00
33,13005,0,0,296064224.00
34,16098,0,0,305633472.00
35,16726,0,0,309091904.00
36,15549,0,0,285978720.00
37,14949,0,0,293629408.00
38,13153,0,0,285827616.00
39,14975,0,0,289319392.00
40,14901,0,0,298868576.00
41,15946,0,0,307794368.00
42,17485,0,0,309280224.00
43,18104,0,0,307163008.00
44,15905,0,0,294235616.00
45,16008,0,0,307936000.00
46,13362,0,0,278292288.00
47,11081,0,0,266755616.00
48,10271,0,0,257035616.00
49,11006,0,0,266898176.00
50,12243,0,0,273355360.00
51,14693,0,0,284985504.00
52,15598,0,0,287145920.00
53,13841,0,0,280982112.00
54,13468,0,0,263705792.00
55,14817,0,0,265309536.00
56,14871,0,0,286403296.00
57,13846,0,0,269678208.00
58,16392,0,0,273459584.00
59,16626,0,0,297188288.00
60,12556,0,0,259216784.00
