time,tcp,udp,icmp,bitrate
1,11925,0,0,275308192.00
2,13748,0,0,278186432.00
3,12846,0,0,284159232.00
4,15982,0,0,302353280.00
5,14154,0,0,301755008.00
6,13094,0,0,271288320.00
7,12648,0,0,283242816.00
8,13603,0,0,285528288.00
9,11194,0,0,264161472.00
10,13183,0,0,257633056.00
11,11365,0,0,268576608.00
12,12337,0,0,279568736.00
13,12839,0,0,272317472.00
14,14156,0,0,286013184.00
15,12389,0,0,265434720.00
16,11995,0,0,271097568.00
17,13010,0,0,274809664.00
18,13427,0,0,262657760.00
19,11711,0,0,266195232.00
20,14057,0,0,280817120.00
21,14680,0,0,295961728.00
22,15041,0,0,278284128.00
23,12321,0,0,270885664.00
24,14001,0,0,276762592.00
25,13342,0,0,282998656.00
26,13727,0,0,280564000.00
27,15599,0,0,299703392.00
28,12210,0,0,287288768.00
29,12857,0,0,264795360.00
30,14065,0,0,274518752.00
31,13472,0,0,285473792.00
32,12951,0,0,280820384.00
33,12636,0,0,277816512.00
34,12862,0,0,269720640.00
35,12803,0,0,269105312.00
36,12111,0,0,278188896.00
37,11953,0,0,282640928.00
38,11557,0,0,269849632.00
39,12187,0,0,283989344.00
40,11721,0,0,278188832.00
41,11567,0,0,268069856.00
42,11849,0,0,274616288.00
43,15095,0,0,299702240.00
44,15561,0,0,277863328.00
45,14695,0,0,276970208.00
46,13521,0,0,266148896.00
47,14871,0,0,290515616.00
48,14541,0,0,277195744.00
49,13178,0,0,274022336.00
50,13244,0,0,283919360.00
51,13324,0,0,290231168.00
52,15628,0,0,292405952.00
53,13366,0,0,293144640.00
54,14061,0,0,289726880.00
55,12923,0,0,294674784.00
56,11426,0,0,267269824.00
57,11891,0,0,270683616.00
58,13473,0,0,289042080.00
59,12257,0,0,272005856.00
60,13708,0,0,277697528.00
