time,tcp,udp,icmp,bitrate
1,0,47357,0,559191456.00
2,0,47302,0,558542016.00
3,0,47210,0,557455680.00
4,0,47179,0,557089632.00
5,0,47155,0,556806240.00
6,0,47408,0,559793664.00
7,0,47447,0,560254176.00
8,0,47452,0,560313216.00
9,0,47440,0,560171520.00
10,0,47468,0,560502144.00
11,0,47450,0,560289600.00
12,0,47506,0,560950848.00
13,0,47482,0,560667456.00
14,0,47476,0,560596608.00
15,0,47487,0,560726496.00
16,0,47467,0,560490336.00
17,0,47473,0,560561184.00
18,0,47422,0,559958976.00
19,0,47479,0,560632032.00
20,0,47425,0,559994400.00
21,0,47437,0,560136096.00
22,0,47423,0,559970784.00
23,0,47231,0,557703648.00
24,0,47112,0,556298496.00
25,0,47118,0,556369344.00
26,0,47139,0,556617312.00
27,0,47096,0,556109568.00
28,0,47253,0,557963424.00
29,0,47470,0,560525760.00
30,0,47449,0,560277792.00
31,0,47498,0,560856384.00
32,0,47419,0,559923552.00
33,0,47464,0,560454912.00
34,0,47422,0,559958976.00
35,0,47426,0,560006208.00
36,0,47429,0,560041632.00
37,0,47410,0,559817280.00
38,0,47442,0,560195136.00
39,0,47410,0,559817280.00
40,0,47442,0,560195136.00
41,0,47443,0,560206944.00
42,0,47473,0,560561184.00
43,0,47458,0,560384064.00
44,0,47483,0,560679264.00
45,0,47409,0,559805472.00
46,0,47172,0,557006976.00
47,0,47191,0,557231328.00
48,0,47187,0,557184096.00
49,0,47197,0,557302176.00
50,0,47190,0,557219520.00
51,0,47234,0,557739072.00
52,0,47507,0,560962656.00
53,0,47479,0,560632032.00
54,0,47515,0,561057120.00
55,0,47452,0,560313216.00
56,0,47477,0,560608416.00
57,0,47487,0,560726496.00
58,0,47470,0,560525760.00
59,0,47469,0,560513952.00
60,0,46368,0,547513344.00
