time,tcp,udp,icmp,bitrate
1,0,78435,0,926160480.00
2,0,78373,0,925428384.00
3,0,78428,0,926077824.00
4,0,78358,0,925251264.00
5,0,78195,0,923326560.00
6,0,78347,0,925121376.00
7,0,78379,0,925499232.00
8,0,78332,0,924944256.00
9,0,78177,0,923114016.00
10,0,78283,0,924365664.00
11,0,78394,0,925676352.00
12,0,78513,0,927081504.00
13,0,78442,0,926243136.00
14,0,78478,0,926668224.00
15,0,78510,0,927046080.00
16,0,78549,0,927506592.00
17,0,78561,0,927648288.00
18,0,78520,0,927164160.00
19,0,78573,0,927789984.00
20,0,78594,0,928037952.00
21,0,78584,0,927919872.00
22,0,78515,0,927105120.00
23,0,78558,0,927612864.00
24,0,78560,0,927636480.00
25,0,78532,0,927305856.00
26,0,78454,0,926384832.00
27,0,78486,0,926762688.00
28,0,78499,0,926916192.00
29,0,78515,0,927105120.00
30,0,78582,0,927896256.00
31,0,78528,0,927258624.00
32,0,78508,0,927022464.00
33,0,78502,0,926951616.00
34,0,78417,0,925947936.00
35,0,78380,0,925511040.00
36,0,78384,0,925558272.00
37,0,78426,0,926054208.00
38,0,78350,0,925156800.00
39,0,75390,0,890205120.00
40,0,78239,0,923846112.00
41,0,78299,0,924554592.00
42,0,78289,0,924436512.00
43,0,78288,0,924424704.00
44,0,78385,0,925570080.00
45,0,78351,0,925168608.00
46,0,78421,0,925995168.00
47,0,78426,0,926054208.00
48,0,78404,0,925794432.00
49,0,78430,0,926101440.00
50,0,78465,0,926514720.00
51,0,78412,0,925888896.00
52,0,78389,0,925617312.00
53,0,78396,0,925699968.00
54,0,78472,0,926597376.00
55,0,78461,0,926467488.00
56,0,78469,0,926561952.00
57,0,78490,0,926809920.00
58,0,78499,0,926916192.00
59,0,78470,0,926573760.00
60,0,76759,0,906370272.00
