time,tcp,udp,icmp,bitrate
1,8910,0,0,199858432.00
2,10929,0,0,218919968.00
3,9810,0,0,222381440.00
4,9523,0,0,213840480.00
5,9244,0,0,198746304.00
6,8782,0,0,188406528.00
7,8860,0,0,197752512.00
8,9700,0,0,205967488.00
9,10776,0,0,221902912.00
10,8968,0,0,199326528.00
11,8965,0,0,217871264.00
12,9759,0,0,223495456.00
13,9899,0,0,217055072.00
14,9466,0,0,215693376.00
15,9387,0,0,212173728.00
16,9234,0,0,216929024.00
17,9459,0,0,204801504.00
18,9354,0,0,207700160.00
19,9438,0,0,205661568.00
20,10254,0,0,227941120.00
21,9114,0,0,211897984.00
22,9262,0,0,214299520.00
23,9028,0,0,200533056.00
24,9696,0,0,212742464.00
25,9265,0,0,190321888.00
26,9019,0,0,207572384.00
27,9191,0,0,194229664.00
28,9204,0,0,205958080.00
29,9266,0,0,212795264.00
30,9147,0,0,213626144.00
31,10771,0,0,222422112.00
32,9965,0,0,219538336.00
33,9091,0,0,201590240.00
34,8647,0,0,204116192.00
35,9048,0,0,194888384.00
36,9766,0,0,204813376.00
37,8978,0,0,197558336.00
38,9448,0,0,204704256.00
39,9517,0,0,196450400.00
40,10996,0,0,209634304.00
41,11101,0,0,220045664.00
42,8890,0,0,207344960.00
43,9076,0,0,212496128.00
44,9254,0,0,206256896.00
45,9337,0,0,212917472.00
46,9616,0,0,209129728.00
47,9022,0,0,204909312.00
48,10972,0,0,223316608.00
49,9460,0,0,205172608.00
50,9071,0,0,207130656.00
51,10271,0,0,222781728.00
52,9295,0,0,194029664.00
53,9733,0,0,213904672.00
54,9585,0,0,211410464.00
55,8967,0,0,199048096.00
56,9144,0,0,199434496.00
57,9762,0,0,203792320.00
58,10459,0,0,228524512.00
59,9961,0,0,211833312.00
60,9386,0,0,207994192.00
