time,tcp,udp,icmp,bitrate
1,17084,0,0,248424832.00
2,16695,0,0,239887776.00
3,15467,0,0,234349472.00
4,15552,0,0,234060480.00
5,14835,0,0,232128864.00
6,15592,0,0,227659584.00
7,15770,0,0,237290432.00
8,14639,0,0,230448736.00
9,16410,0,0,230142912.00
10,17630,0,0,241759488.00
11,17223,0,0,237964384.00
12,18371,0,0,260451552.00
13,14852,0,0,236039744.00
14,13291,0,0,226586528.00
15,14693,0,0,248855008.00
16,14225,0,0,237713440.00
17,17707,0,0,250711200.00
18,13368,0,0,224660864.00
19,16608,0,0,236700736.00
20,19011,0,0,248114400.00
21,18776,0,0,247472192.00
22,14994,0,0,232554112.00
23,16692,0,0,233584832.00
24,17961,0,0,243264096.00
25,17795,0,0,250689888.00
26,15582,0,0,223369344.00
27,12622,0,0,214040768.00
28,14251,0,0,232662048.00
29,12525,0,0,220730720.00
30,13166,0,0,219398784.00
31,13337,0,0,225551520.00
32,14656,0,0,242213568.00
33,15659,0,0,239850656.00
34,17430,0,0,248371840.00
35,15180,0,0,233847808.00
36,15713,0,0,243440992.00
37,16147,0,0,247977120.00
38,15034,0,0,232373824.00
39,12592,0,0,222797376.00
40,13113,0,0,221624032.00
41,13328,0,0,209793536.00
42,16929,0,0,250260128.00
43,14758,0,0,232896128.00
44,13478,0,0,234182336.00
45,14233,0,0,238608736.00
46,19463,0,0,259538912.00
47,16858,0,0,239376384.00
48,15451,0,0,233288672.00
49,13653,0,0,229853216.00
50,12863,0,0,219747680.00
51,15399,0,0,229664416.00
52,18696,0,0,252860224.00
53,14726,0,0,230009984.00
54,15560,0,0,238396224.00
55,14015,0,0,235969568.00
56,12950,0,0,213887616.00
57,14549,0,0,229612000.00
58,14874,0,0,240207552.00
59,11825,0,0,204314592.00
60,13733,0,0,216324328.00
