time,tcp,udp,icmp,bitrate
1,0,47339,0,558978912.00
2,0,47257,0,558010656.00
3,0,47159,0,556853472.00
4,0,47150,0,556747200.00
5,0,47147,0,556711776.00
6,0,47410,0,559817280.00
7,0,47418,0,559911744.00
8,0,47409,0,559805472.00
9,0,47413,0,559852704.00
10,0,47429,0,560041632.00
11,0,47419,0,559923552.00
12,0,47425,0,559994400.00
13,0,47433,0,560088864.00
14,0,47419,0,559923552.00
15,0,47443,0,560206944.00
16,0,47409,0,559805472.00
17,0,47485,0,560702880.00
18,0,47431,0,560065248.00
19,0,47461,0,560419488.00
20,0,47394,0,559628352.00
21,0,47447,0,560254176.00
22,0,47431,0,560065248.00
23,0,47190,0,557219520.00
24,0,47164,0,556912512.00
25,0,47159,0,556853472.00
26,0,47186,0,557172288.00
27,0,47111,0,556286688.00
28,0,47371,0,559356768.00
29,0,47481,0,560655648.00
30,0,47449,0,560277792.00
31,0,47500,0,560880000.00
32,0,47466,0,560478528.00
33,0,47504,0,560927232.00
34,0,47471,0,560537568.00
35,0,47462,0,560431296.00
36,0,47465,0,560466720.00
37,0,47514,0,561045312.00
38,0,47494,0,560809152.00
39,0,47470,0,560525760.00
40,0,47472,0,560549376.00
41,0,47428,0,560029824.00
42,0,47435,0,560112480.00
43,0,47447,0,560254176.00
44,0,47418,0,559911744.00
45,0,47322,0,558778176.00
46,0,47123,0,556428384.00
47,0,47128,0,556487424.00
48,0,47108,0,556251264.00
49,0,47135,0,556570080.00
50,0,47114,0,556322112.00
51,0,47203,0,557373024.00
52,0,47450,0,560289600.00
53,0,47400,0,559699200.00
54,0,47451,0,560301408.00
55,0,47433,0,560088864.00
56,0,47434,0,560100672.00
57,0,47416,0,559888128.00
58,0,47431,0,560065248.00
59,0,47421,0,559947168.00
60,0,45576,0,538161408.00
